IP地址,端口,TLS,数据中心,地区,国家,城市,网络延迟,下载速度MB/s
8.219.208.104,2053,TRUE,SG SIN,亚洲,SG,新加坡,74 ms,21.8
8.219.123.11,2053,TRUE,SG SIN,亚洲,SG,新加坡,172 ms,20.14
47.236.164.65,2053,TRUE,SG SIN,亚洲,SG,新加坡,92 ms,20.04
47.236.145.85,2053,TRUE,SG SIN,亚洲,SG,新加坡,188 ms,19.41
47.236.180.24,2053,TRUE,SG SIN,亚洲,SG,新加坡,148 ms,18.39
47.236.146.249,2053,TRUE,SG SIN,亚洲,SG,新加坡,250 ms,17.56
47.236.99.59,2053,TRUE,SG SIN,亚洲,SG,新加坡,116 ms,17.2
8.219.110.248,2053,TRUE,SG SIN,亚洲,SG,新加坡,148 ms,16.66
47.237.86.185,2053,TRUE,SG SIN,亚洲,SG,新加坡,151 ms,16.46
47.236.130.95,2053,TRUE,SG SIN,亚洲,SG,新加坡,156 ms,16.02
47.236.171.205,2053,TRUE,SG SIN,亚洲,SG,新加坡,160 ms,15.27
47.236.237.90,2053,TRUE,SG SIN,亚洲,SG,新加坡,148 ms,15.2
47.236.120.9,2053,TRUE,SG SIN,亚洲,SG,新加坡,103 ms,15.04
47.237.125.8,2083,TRUE,SG SIN,亚洲,SG,新加坡,92 ms,21.55
47.236.232.148,2083,TRUE,SG SIN,亚洲,SG,新加坡,241 ms,21.49
8.219.208.104,2083,TRUE,SG SIN,亚洲,SG,新加坡,86 ms,20.11
47.236.165.25,2083,TRUE,SG SIN,亚洲,SG,新加坡,89 ms,18.75
47.236.104.11,2083,TRUE,SG SIN,亚洲,SG,新加坡,323 ms,17.72
47.236.205.188,2083,TRUE,SG SIN,亚洲,SG,新加坡,171 ms,17.42
47.237.11.182,2083,TRUE,SG SIN,亚洲,SG,新加坡,132 ms,17.21
47.236.146.249,2083,TRUE,SG SIN,亚洲,SG,新加坡,146 ms,16.7
47.236.167.231,2083,TRUE,SG SIN,亚洲,SG,新加坡,163 ms,16.52
8.219.6.150,2083,TRUE,SG SIN,亚洲,SG,新加坡,84 ms,16.14
47.237.82.15,2083,TRUE,SG SIN,亚洲,SG,新加坡,213 ms,15.65
47.237.10.1,2083,TRUE,SG SIN,亚洲,SG,新加坡,161 ms,15.55
47.236.130.95,2083,TRUE,SG SIN,亚洲,SG,新加坡,191 ms,15.51
8.219.123.11,2083,TRUE,SG SIN,亚洲,SG,新加坡,148 ms,15.09
47.236.75.152,2083,TRUE,SG SIN,亚洲,SG,新加坡,180 ms,15.03
47.236.118.216,2087,TRUE,SG SIN,亚洲,SG,新加坡,131 ms,21.28
8.222.145.43,2087,TRUE,SG SIN,亚洲,SG,新加坡,137 ms,21.11
47.237.121.38,2087,TRUE,SG SIN,亚洲,SG,新加坡,189 ms,20.11
8.219.6.150,2087,TRUE,SG SIN,亚洲,SG,新加坡,187 ms,19.55
47.236.170.225,2087,TRUE,SG SIN,亚洲,SG,新加坡,143 ms,19.51
47.236.118.216,2087,TRUE,SG SIN,亚洲,SG,新加坡,141 ms,18.22
47.237.94.140,2087,TRUE,SG SIN,亚洲,SG,新加坡,113 ms,17.72
47.236.80.110,2087,TRUE,SG SIN,亚洲,SG,新加坡,201 ms,17.36
8.219.110.248,2087,TRUE,SG SIN,亚洲,SG,新加坡,153 ms,17.26
47.236.164.65,2087,TRUE,SG SIN,亚洲,SG,新加坡,87 ms,16.92
47.236.146.249,2087,TRUE,SG SIN,亚洲,SG,新加坡,130 ms,16.21
47.236.237.90,2087,TRUE,SG SIN,亚洲,SG,新加坡,106 ms,16.12
47.236.232.148,2087,TRUE,SG SIN,亚洲,SG,新加坡,124 ms,15.89
47.236.164.215,2087,TRUE,SG SIN,亚洲,SG,新加坡,132 ms,15.35
35.200.25.49,2087,TRUE,JP NRT,亚洲,JP,东京,203 ms,15.14
103.201.130.227,2096,TRUE,JP NRT,亚洲,JP,东京,156 ms,21.62
47.236.170.225,2096,TRUE,SG SIN,亚洲,SG,新加坡,197 ms,21.06
47.237.0.31,2096,TRUE,SG SIN,亚洲,SG,新加坡,171 ms,20.64
8.219.110.248,2096,TRUE,SG SIN,亚洲,SG,新加坡,130 ms,19.71
47.237.94.140,2096,TRUE,SG SIN,亚洲,SG,新加坡,300 ms,19.67
8.219.6.150,2096,TRUE,SG SIN,亚洲,SG,新加坡,137 ms,19.03
8.219.208.104,2096,TRUE,SG SIN,亚洲,SG,新加坡,93 ms,18.93
47.236.167.231,2096,TRUE,SG SIN,亚洲,SG,新加坡,261 ms,18.54
103.201.130.227,2096,TRUE,JP NRT,亚洲,JP,东京,187 ms,18.49
8.219.208.104,2096,TRUE,SG SIN,亚洲,SG,新加坡,131 ms,18.48
47.237.95.156,2096,TRUE,SG SIN,亚洲,SG,新加坡,163 ms,18.38
47.236.237.90,2096,TRUE,SG SIN,亚洲,SG,新加坡,117 ms,18.21
8.222.164.209,2096,TRUE,SG SIN,亚洲,SG,新加坡,112 ms,17.9
47.237.95.140,2096,TRUE,SG SIN,亚洲,SG,新加坡,129 ms,17.77
47.236.6.170,2096,TRUE,SG SIN,亚洲,SG,新加坡,244 ms,17.05
8.222.145.43,2096,TRUE,SG SIN,亚洲,SG,新加坡,177 ms,16.29
47.236.6.170,2096,TRUE,SG SIN,亚洲,SG,新加坡,310 ms,15.45
45.159.48.42,34237,TRUE,JP NRT,亚洲,JP,东京,226 ms,15.77
103.30.77.35,443,TRUE,HK HKG,亚洲,HK,香港,128 ms,25.94
35.77.126.144,443,TRUE,JP NRT,亚洲,JP,东京,97 ms,25.85
43.207.145.163,443,TRUE,JP NRT,亚洲,JP,东京,97 ms,24.92
23.106.128.6,443,TRUE,JP KIX,亚洲,JP,大阪,118 ms,19.71
206.206.104.13,443,TRUE,HK HKG,亚洲,HK,香港,172 ms,18.97
167.88.185.204,443,TRUE,JP KIX,亚洲,JP,大阪,154 ms,18.9
54.95.94.250,443,TRUE,JP NRT,亚洲,JP,东京,38 ms,18.7
157.254.52.56,443,TRUE,HK HKG,亚洲,HK,香港,48 ms,18.55
54.92.17.121,443,TRUE,JP NRT,亚洲,JP,东京,170 ms,18.45
54.249.173.119,443,TRUE,JP NRT,亚洲,JP,东京,42 ms,18.38
54.249.135.43,443,TRUE,JP NRT,亚洲,JP,东京,57 ms,17.86
43.153.181.217,443,TRUE,JP NRT,亚洲,JP,东京,178 ms,17.81
34.80.252.27,443,TRUE,TW TPE,亚洲,TW,台北,247 ms,17.38
45.77.130.245,443,TRUE,JP NRT,亚洲,JP,东京,113 ms,16.87
45.143.233.193,443,TRUE,JP NRT,亚洲,JP,东京,160 ms,16.87
47.236.146.249,443,TRUE,SG SIN,亚洲,SG,新加坡,113 ms,16.72
91.200.242.117,443,TRUE,JP NRT,亚洲,JP,东京,107 ms,16.64
18.143.236.187,443,TRUE,SG SIN,亚洲,SG,新加坡,174 ms,16.49
8.222.204.128,443,TRUE,SG SIN,亚洲,SG,新加坡,132 ms,16.13
3.113.111.83,443,TRUE,JP NRT,亚洲,JP,东京,118 ms,16.01
47.236.146.249,443,TRUE,SG SIN,亚洲,SG,新加坡,118 ms,15.61
54.238.112.33,443,TRUE,JP NRT,亚洲,JP,东京,181 ms,15.36
47.236.145.85,443,TRUE,SG SIN,亚洲,SG,新加坡,129 ms,15.3
47.236.167.231,8443,TRUE,SG SIN,亚洲,SG,新加坡,137 ms,20.68
47.237.125.8,8443,TRUE,SG SIN,亚洲,SG,新加坡,203 ms,19.54
47.236.6.170,8443,TRUE,SG SIN,亚洲,SG,新加坡,222 ms,19.29
47.236.146.249,8443,TRUE,SG SIN,亚洲,SG,新加坡,129 ms,18.69
47.236.170.225,8443,TRUE,SG SIN,亚洲,SG,新加坡,180 ms,17.47
47.236.164.65,8443,TRUE,SG SIN,亚洲,SG,新加坡,139 ms,17.08
8.222.145.43,8443,TRUE,SG SIN,亚洲,SG,新加坡,199 ms,17.06
47.236.232.148,8443,TRUE,SG SIN,亚洲,SG,新加坡,101 ms,16.48
47.236.164.65,8443,TRUE,SG SIN,亚洲,SG,新加坡,267 ms,16.42
47.236.130.95,8443,TRUE,SG SIN,亚洲,SG,新加坡,208 ms,16.31
8.219.110.248,8443,TRUE,SG SIN,亚洲,SG,新加坡,162 ms,15.49
